anime_title,description,anilist_id,tag_names
ブレンパワード,"In the not so distant future much of the earth has been submerged under the sea or destroyed by earthquakes. At the center of the turmoil is the mysterious Orphan. Orphan may or may not be the original cause of the cataclysms. Orphan's goal is to raise a ship hidden deep beneath the sea to the surface, but doing so would result in the destruction of all humans except for the small number which are loyal to Orphan.<br><br>nOrphan's agents pilot mysterious mecha known as Grand Cheres, and search the world for mysterious, giant disks which occasionally appear, flying at high speeds and wrecking much of the countryside, or cities, when they hit the ground. After a dying disc almost kills Hime, a Brain Powerd is born from the disc. Brain Powerds are another type of Mecha, similar to but not the same as Grand Cheres.<br><br>nHime becomes the Brain Powerd's pilot, forming a symbiotic relationship with the living mecha and joins an International Organization dedicated to stopping Orphan, or at the very least saving humanity should Orphan succeed.",1542,"Aliens, Espionage, Found Family, Fugitive, Military, Nudity, Robots, Super Robot"
夜明け前より瑠璃色な -Crescent Love-,"Feena Fam Earthlight will have you seeing stars! It's hard enough being from the Moon, but it's even harder when you're in love with an Earthling! Watch as two worlds collide when this space princess makes her landing on Earth!n<br><br>n(Source: HIDIVE)",1543,"Aliens, Chibi, Female Harem, Guns, Heterosexual, Kuudere, Maids, Politics, Primarily Female Cast, School, Space, Work"
ネギま!?,"A remake of the Negima anime with its own original story.<br><br>nWizard Negi Springfield may be a boy, but he has a man-sized job to do! Fresh from the Academy of Magic, Negi continues his training as an instructor at Mahora Academy in Japan. But before he can get his Masters in magic, the 31 schoolgirls of Class 3-A are gonna keep him up all night cramming for a final exam in will power. Temptation aside, Negi has more on his syllabus than flirting and spells. Darkness is closing in, and Negi is gonna need help from his lovely student bodies to drive the ghouls from their school. These girls want to prove that they're the best in class, and extra credit is available to the cuties that aren't afraid of after-hours phantom fighting!<br><br>n(Source: DVD case)",1546,"Card Battle, Female Harem, Magic, Primarily Female Cast, School, Surreal Comedy, Teacher, Urban Fantasy, Vampire"
あさっての方向。,"There are far worse things than having to deal with your ex-boyfriend's little sister or your older brother's ex-girlfriend. But that's something Karada Iokawa and Shoko Nogami have to learn the hard way when a magic wishing stone inexplicably grants Karada's wish to be older - and does it by stealing the years from Shoko! Now Shoko, who's already graduated and studied overseas, is Karada's age, just about to enter junior high school. Meanwhile Karada must suddenly face the real facts about what being grown up entails. And just to make a bizarre situation even more awkward, there's the issue of how to handle their existing romantic interests! <br><br>n(Source: RightStuf)",1554,"Age Regression, Body Swapping, Female Protagonist, Rural"
ときめきメモリアル Only Love,"Aoba Riku has just transferred to a new high school because of his father's job, and things aren't quite what he expected. The headmaster's secretary controls the school while espousing the virtues of academic freedom, the teachers are even stranger than normal teachers, and half the student body is walking around with animal ears on. On his very first day, Riku is unfortunate enough to find himself at the center of the student council's latest event, which has him running for his life. All this on top of the normal high school rigour of popularity contests, crushes, and homework makes it unsure whether Riku will be able to survive this new school.<br><br>n(Source: Anime News Network)",1555,"Female Harem, Heterosexual, Male Protagonist, School"
少年陰陽師,"Masahiro is the grandson of the great onmyouji, Abe no Seimei. However, he lost his sixth sense that enables him to see supernatural beings, which is very important for an onmyouji. Thus, he is left with no choice but to try and pick a different career. But one day, a strange mononoke appears, which he names Mokkun, who shows him his true potential powers after fighting a demon. With the assistance of Mokkun, his quest to become the greatest onmyouji begins.",1557,"Demons, Historical, Magic, Youkai"
史上最強の弟子 ケンイチ,"From wimp to warrior. Sort of…<br>n<br>nYeah, Kenichi’s a total wimp. He’s always getting picked on and doesn’t have a lot of friends to stick up for him. The guy needs motivation if he hopes to graduate in one piece. Well, Miu’s the perfect motivation. She’s hot, she accepts him, and she just so happens to live at a dojo with six martial arts masters. You could say fate has led Kenichi to their door, or you could say he was just following the hottie. Either way, he’s about to get whipped into serious shape. If he can survive some hard-core training, he might survive another day at school. He might even score with Miu. Yeah, you could call Kenichi a wimp. But let’s go with underdog instead.<br>n<br>n(Source: Discotek)",1559,"Delinquents, Fitness, Kuudere, Male Protagonist, Martial Arts, School, Shounen"
らぶドル～Lovely Idol～,"Lovedol, or Lovely Idol, is a girl group consisting of two generations of idols. The 3rd Generation is about to make its debut, but to their surprise, they have been delayed! The vague reason is only that ""they lack something."" The manager, and the 3rd Gen. girls too, must find the answer. ",1561,"Female Harem, Idol, Primarily Female Cast"
ヤマトナデシコ七変化♥,"Takano Kyohei, Oda Takenaga, Toyama Yukinojo, and Morii Ranmaru are going to rent a house to go to school for free on the condition that they make the girl of the house a ""lady"". However, Nakahara Sunako, the girl living there, is gloomy, weird, and horror movie maniac. She has a trauma of when she was told she was ugly by the boy whom she loved when she was in junior high school. She doesn't like beautiful things and gets a nosebleed when she looks at something beautiful.<br><br>n(Source: AnimeNfo)",1562,"Chibi, Crossdressing, Educational, Episodic, Female Protagonist, Heterosexual, Hikikomori, Makeup, Male Harem, Otaku Culture, Parody, Primarily Teen Cast, School, Shoujo, Surreal Comedy, Tragedy"
魔法騎士（マジックナイト）レイアース II,"Soon after Hikaru, Umi, and Fuu return to Tokyo, the three of them meet at Tokyo Tower to talk. Hikaru says that she wishes they could return to Cephiro and do something good for the land that Princess Emeraude protected so dearly. Umi and Fuu agree. Suddenly, a light appears in the sky and they are transported to Cephiro. Clef explains to them that with no Pillar to keep Cephiro peaceful, it has fallen into chaos. Monsters are multiplying and the land is becoming desolate. All the remaining inhabitants of Cephiro have moved into a magical castle. Clef also tells the girls some alarming news; three other countries, Chizeta, Fahren, and Autozam are trying to invade Cephiro and take over the Pillar system for their own purposes. The girls must stop the invaders as well as the mysterious and evil Lady Debonair, who believes she is the rightful Pillar, all the while desperately hoping and searching for a new Pillar to make Cephiro into the beautiful land it once was.<br><br>n(Source: Anime News Network)",1563,"Age Gap, Drawing, Elf, Female Protagonist, Henshin, Heterosexual, Isekai, Love Triangle, Magic, Memory Manipulation, Politics, Primarily Child Cast, Primarily Female Cast, Revenge, Shoujo, Super Power, Super Robot, Swordplay, Tragedy, Twins, War, Yandere"
ポケットモンスター　アドバンスジェネレーション,"After participating in the Johto League, Ash decides to begin anew in yet another journey; this time by himself and Pikachu, in the land of Hoenn. Though he isn't alone for long, as 10-year-old May (whom dislikes Pokemon, but just wants to come along to see the world) travels with him after Pikachu destroys her bicycle. Ash also meets up with his old companion, Brock, and May's younger brother, Max. Together, they travel along in Hoenn, battling Gym Leaders, entering Contests, and other events on the way to the Hoenn League. <br><br>n(Source: Anime News Network)",1564,"Animals, CGI, Dragons, Environmental, Episodic, Female Protagonist, Kids, Male Protagonist, Outdoor, Primarily Child Cast, Proxy Battle, Rural, Slapstick, Super Robot, Urban Fantasy"
ポケットモンスター ダイヤモンド&パール,"After defeating Brandon and declining the offer to be a Frontier Brain, Ash sets off to travel through the far away land of Sinnoh. Once he gets there, he meets up with Hikari, a local trainer from the region, and they decide to travel together.",1565,"Animals, Dragons, Environmental, Episodic, Female Protagonist, Kids, Male Protagonist, Outdoor, Primarily Child Cast, Proxy Battle, Rural, Slapstick, Super Robot, Urban Fantasy"
怪盗セイント・テール,"Meimi Haneoka, 14, is a normal girl during the daytime, but during the night, she assumes the ""position"" of Saint Tail, a modern-day Robin Hood who steals from thieves and gives items back to their original owners. She is aided by her friend, Seira Mimori, a nun-in-training, and she is chased by her classmate (and soon-to-be love interest), Daiki Asuka (often called ""Asuka Jr.""). <br><br>n(Source: Anime News Network)",1567,"Animals, Crime, Detective, Episodic, Female Protagonist, Henshin, Love Triangle, Nun, Primarily Child Cast, School, Shoujo, Urban Fantasy"
すもももももも〜地上最強のヨメ〜,"Koushi Inuzuka is a smart high school student who aims to become a public prosecutor. Unfortunately for our good guy, he was born into a martial arts family whose head (ie his father) only knows one language: violence. When Koushi was still a baby, his father made a pact with his biggest rival to marry Koushi to his opponent-turned-friend's daughter. The union of the two blood lines is supposed to bring forth Earth's strongest martial arts clan. <br><br>nSkip forward: Koushi is in high school, oblivious to the marriage arranged for him at his birth. Enter Momoko Kuzuryuu: sugar bomb, airhead, loli martial arts artist and Koushi's self-proclaimed bride (the strongest on Earth, no less). Her wish for sexual intercourse meets with Koushi's square refusal as he has absolutely no desire to get it on with someone who looks like she could be his little sister, not to mention that he doesn't have the foggiest idea who she actually is. <br><br>nMeanwhile, a war has broken out between the martial arts families. For Koushi, this means that numerous fighters are out to challenge/assassinate him. As if that weren't bad enough, our protagonist also has a fight phobia due to a traumatic incident that took place in his childhood. Now it's up to Momoko and her superhuman fighting skills to protect her ""husband."" Will the two sweethearts survive the trials and tribulations ahead of them? More importantly, will Momoko get her way receiving a baby from Koushi? <br><br>n(Source: Kotonoha) ",1568,"Female Harem, Heterosexual, Martial Arts, Nudity, School, Seinen"
乙女は僕に恋してる,"Mizuho can't believe his ears when Grandpa's will is read out. Grandpa's final wish is for Mizuho to attend the same academy as Mizuho's mother. The catch is it's an all-girls school. With the help of friend Mariya however, he gets a makeover good enough to fool everyone at the academy. <br><br>n(Source: Anime News Network)",1569,"Crossdressing, Female Harem, Femboy, Ghost, Kuudere, Ojou-sama, Parody, Primarily Female Cast, School"
はぴねす！,"Kamizaka Haruhi having been rescued when she was young by a mage, longed to be a mage herself, so she enrolled into a special school that allows regular and magic classes into two different sections. Together with her rival/best friend, Hiiragi Anri, they study magic together while she is searching for the boy that saved her years ago, to give him a Valentines' chocolate.n<br><br>n(Source: Anime News Network)",1570,"Female Harem, Magic, School"
ゴーストハント,"While at school, Taniyama Mai and her friends like to exchange ghost stories. Apparently, there is an abandoned school building on their campus that is the center of many ghost stories. During the story, they are interrupted by a mysterious male figure. The person turns out to be Shibuya Kazuya, a 17 year old who is president of the Shibuya Psychic Research Company. He was called by the principal to investigate the stories surrounding the abandoned school building.<br><br>nThe next day, on the way to school, Mai passes the school building in question. While examining a strange camera she spotted inside, she gets surprised by Kazuya's assistant. Unknowingly interfering with the investigation, Mai breaks the camera and Kazuya's assistant gets injured.<br><br>nKazuya forcefully hires Mai in order to pay for the camera and replace his injured assistant. From that point on, Mai begins to learn about the paranormal world and the profession of ghost hunting.<br><br>n[Written by MAL Rewrite]",1571,"Body Horror, Cars, Crime, Demons, Denpa, Detective, Female Protagonist, Ghost, Gods, Gore, Shoujo, Shrine Maiden, Super Power, Tragedy, Youkai"
鬼神童子ZENKI,"One thousand years ago, all manner of evil creatures beset Earth. Only the high priest, Ozuno, could control the guardian demon named Zenki and protect the world. Fearful that no one would ever be able to control the destructive Zenki, Ozuno sealed the creature in a stone monument before he passed on.<br>n<br>nIn modern day, a young priestess named Chiaki Ozuno uncovers the monument. Strange demonic objects known as the Seeds of Evil have been appearing once again, and with them come doom for all mankind. Chiaki's only chance is to summon Zenki! Will she find a way to control him, or will Earth's salvation spell her destruction?<br>n<br>n(Source: Media Blasters)",1573,"Animals, Female Protagonist, Male Protagonist, Shounen"
コードギアス 反逆のルルーシュ,"On August 10th of the year 2010 the Holy Empire of Britannia began a campaign of conquest, its sights set on Japan. Operations were completed in one month thanks to Britannia's deployment of new mobile humanoid armor vehicles dubbed Knightmare Frames. Japan's rights and identity were stripped away, the once proud nation now referred to as Area 11. Its citizens, Elevens, are forced to scratch out a living while the Britannian aristocracy lives comfortably within their settlements. Pockets of resistance appear throughout Area 11, working towards independence for Japan.<br><br>n Lelouch, an exiled Imperial Prince of Britannia posing as a student, finds himself in the heart of the ongoing conflict for the island nation. Through a chance meeting with a mysterious girl named C.C., Lelouch gains his Geass, the power of the king. Now endowed with absolute dominance over any person, Lelouch may finally realize his goal of bringing down Britannia from within!<br><br>n(Source: Bandai Entertainment)",1575,"Age Gap, Amnesia, Anti-Hero, CGI, Class Struggle, Disability, Dystopian, Ensemble Cast, Female Harem, Foreign, Gambling, Gore, Heterosexual, Kuudere, Male Protagonist, Masturbation, Memory Manipulation, Military, Nudity, Philosophy, Politics, Primarily Teen Cast, Real Robot, Revenge, School Club, Super Power, Super Robot, Swordplay, Tanned Skin, Terrorism, Tragedy, Urban Fantasy, War"
恋する天使アンジェリーク　～心のめざめる時～,"A young girl named Ange is summoned to a Sacred Land and is chosen as the Legendary Etoile, whose mission is to save the newly-born Cosmos of the Holy Beast, which has recently fallen under a crisis. With the support of nine Guardians (who have the power of nine elements), she embarks on a journey to save the dying land of the Holy Beast and to discover her true self.n<br><br>n(Source: Anime News Network)",1578,"Female Protagonist, Magic, Male Harem"
金色のコルダ ～primo passo～,"Hino Kahoko is a student whose school is divided into two branches - the Normal Branch, in which students wear grey uniforms, and the Music Branch, in which the students wear white. The school's tradition is a music competition, but it it more common that students from the Music Branch are chosen to compete. Kahoko is surprised one day to encounter a fairy named Lili. Solely because she is the only student to see him, she is the only student from the Normal Branch to be in the competition.<br><br>nKahoko doesn't have any musical knowledge, until Lili grants her a magic violin, one that anyone can play if they believe they can truly do it. Kahoko must now face the trials of the competition, her competitors, and her peers. ",1579,"Classical Music, Female Protagonist, Magic, Male Harem, Primarily Male Cast, School"
ギフト～ eternal rainbow,"Amaumi Haruhiko is a high school student who attends Shimano Academy in a town called Narasakicho. Narasakicho contains an unknown rainbow which constantly overlooks the town and is related to granting a magical wish called ""Gift"". Gift is a once-in-a-lifetime present between two people. <br><br>nAs a child, Haruhiko has been close with his childhood friend, Kirino, until he obtains a new non-blood sister by the name of Riko. Haruhiko develops a strong relationship with Riko until they sadly depart due to the fact Haruhiko's father could no longer support the two of them. <br><br>nAfter some times passes by, Riko finally returns to the town of Narasakicho, and along with Kirino, starts to attend Shimano Academy with Haruhiko. The series revolves around the relationship among these main protagonists and slowly reveals the story behind both Gift and the rainbow.",1581,"Cute Girls Doing Cute Things, Female Harem, Heterosexual, Inseki, LGBTQ+ Themes, Love Triangle, Magic, School, Tsundere, Witch"
ゼロゼロナインワン,"Mylene Hoffman, a beautiful cyborg spy with the codename ""009-1"" lives in an alternative world where the cold war never ended, continuously on-going for 140 years. The world is split into two factions, the West and the East block. A masquerade of peace between the two is slowly dissipated as the conflict occurs. Through politics, the two factions battle over supremacy over technology to threats of a nuclear attack. Mylene Hoffman, teaming up with three other agents, gets surrounded by deception, chaos and rivalry as she carries out missions assigned by her superiors.",1583,"Assassins, Cyberpunk, Cyborg, Episodic, Espionage, Female Protagonist, Gore, Nudity, Politics, Primarily Adult Cast, Robots, Seinen, Tragedy, Trains"
天保異聞 妖奇士,"All things have a name by which they are defined. Amongst the named are the many long-forgotten gods that dwell within the world brought about by the prayers, fears and desires of humanity. In the famine stricken and riot plagued city of Edo, alarming events are visited upon the populace by these otherworldly beasts. Descending from the mountain tops or rising from the earth are these old gods, the Youi.<br>n<br>nFor nearly twenty-five years Yukiatsu Ryuudou has wandered the country-sides of Japan posing as a bodyguard, living the life of a gambler and thief, all the while denying his name. Through a chance encounter with a Youi and the members of the Office of Barbarian Knowledge Enforcement, Yukiatsu is forced to face the life he's been running from and rediscover his long hidden power of Ayagami, the ability to find true names and use them as a weapon to exorcise these beasts plaguing the material world.<br>n<br>n(Source: Bandai Entertainment)",1587,"Demons, Historical"
護くんに女神の祝福を！,"""Beatrice"". It is a mysterious power that responds to people&rsquo;s will and realize all of them. Tokyo Beatrice University Attached High School is the only school that teaches Beatrice called ""magic appears in the real world"".<br><br>nYoshimura Mamoru is a high school boy who was saved by Beatrice miraculously when he was a child. At the first day of the school, he meets a girl under the cherry trees on his way to the school. She orders him to go out with her.<br><br>nHer name is Takasu Ayako. She is in the second grade and one year older than him. She is a director of student committee of discipline. Also, she is a granddaughter of a big-name politician, very beautiful, and a genius Beatrician who can even shoot a satellite down. She is called Witch Beatrice or Death Angel in Beatrice, but in fact, she is a pure-hearted girl.<br><br>n(Source: AnimeNfo)",1588,"Kuudere, Love Triangle, School"
バーテンダー,"Genius bartender, Sasakura Ryuu makes the most incredible cocktails anyone has ever tasted. Seeking his ""Glass of God"", individuals from all different walks of life visit his bar. With both a compassionate ear and a godly drink, Ryuu helps people with their problems.<br><br>n(Source: Anime News Network)<br>",1589,"Bar, CGI, Educational, Episodic, Food, Male Protagonist, Office Lady, Philosophy, Primarily Adult Cast, Seinen, Work"
レジェンズ 甦る竜王伝説,"When a crafty toy company ""Wiz"" also known in this show as Dark Wiz Company, finds crystals with the faint DNA of monsters known as ""Legendz"" are found and made into a battle game.<br><br>nA young boy named Shu receives one these crystals known as ""soul figures"" from his father after a baseball game. Legendz rapidly became popular and more and more children played it. Wiz employeys start to track down Shu for his special soul figure, for his soul figure can revive real legendz not just the little kiddy digital images! How will Shu fight his way to victory and claim this soul figure as his own?<br><br>n(Source: TV.com) ",1590,"Anthropomorphism, Baseball, Demons, Kaiju, Male Protagonist, Post-Apocalyptic, Shounen, Slapstick, Urban Fantasy"
くじびき♥アンバランス,"Once a year prestigious Rikkyouin High School has a lottery to determine the next year's Student Council membership. On their first day of school Chihiro Enomoto wins the presidency while his childhood friend Tokino Akiyama picks the vice-president's ticket. There is one catch though, they must first pass a one year apprenticeship under the current Student Council and any failure to perform the tasks assigned, however minor, will result in immediate expulsion from the school.n<br><br>n(Source: Anime News Network)",1591,"Aliens, Kuudere, Parody, Primarily Female Cast, School, Suicide"
働きマン,"Hiroko Matsukata is a woman who works for a magazine company. She puts all she has into her work, and is known as a strong, straight-forward working girl, who can at will turn herself into Hataraki man (working man) mode. Despite Hiroko's success at work, her life lacks romance. Even though a hard worker, she'd leave early anytime to go on a date. Too bad her boyfriend is even bigger a workaholic than Hiroko.n<br><br>n(Source: Anime News Network)",1592,"Episodic, Female Protagonist, Nudity, Office, Office Lady, Philosophy, Primarily Adult Cast, Seinen, Work"
地獄少女 二籠,"Ai Enma once again returns as the Jigoku Shoujo, who uses Jigoku Tsuushin (Hell Hotline) to allow people to post their grudges on their tormentors, sending them straight to Hell. In exchange, the users of the website will end up in Hell after they die. Meanwhile, a mysterious girl with blue eyes called Kikuri appears and seems to have strange intentions towards Ai and Jigoku Tsuushin's operation. <br><br>n(Source: Anime News Network)",1594,"Afterlife, Bullying, Demons, Episodic, Female Protagonist, Found Family, Kuudere, Mythology, Oiran, Revenge, Suicide, Tragedy"
EAT-MAN'98,"The continuing adventures of Bolt Crank, the World's Greatest Mercenary, who has the ability to eat any object, mostly metal and weapons. When the time comes, Bolt can then reproduce those weapons and items in his right hand.n<br><br>n(Source: Anime News Network)",1599,"Guns, Male Protagonist, Shounen, Super Power"
ギャラクシーエンジェる～ん,Apricot Sakuraba and 4 new girls were now assigned as the new Galaxy Angels with the same mission: to search for the Lost Technology and keep peace to Planet Transbaal.n<br><br>n(Source: Anime News Network),1600,"Butler, Ensemble Cast, Episodic, Idol, Kemonomimi, Kuudere, Lost Civilization, Military, Primarily Female Cast, Space, Space Opera, Surreal Comedy, War"
レッド ガーデン,"Strange suicides have been taking place in New York. One day, four girls from the same high school wake up in the morning feeling tired and dizzy and not being able to remember anything about the previous night. In school, they find out that one of their classmates has committed suicide. School is canceled for the rest of the day, but instead of going home, the girls are drawn to a park by butterflies only they can see. Suddenly a man and a woman approach the girls, telling them that they all died the previous night.n<br><br>n(Source: Anime News Network)",1601,"Amnesia, Cosmic Horror, Detective, Drugs, Ensemble Cast, Female Protagonist, Foreign, Gore, Heterosexual, LGBTQ+ Themes, Memory Manipulation, Mythology, Philosophy, Primarily Female Cast, Primarily Teen Cast, Reincarnation, Suicide, Super Power, Urban"
奏光のストレイン,"In the distant future, mankind is divided into two factions: Union and Deague. They have waged a war against each other for so long that no one remembers when it first began. The backbone of the Union military is the manned weapons system Strain, while the Deague uses an unmanned version, the Tumoru.<br><br>nSara Werec, the daughter of a respectable family, is a 16-yearold girl who attends Grapera Space Armed Soldier Academy located in the Cranial Solar System, where she is training to become a full-fledged Reasoner (a Strain pilot).<br><br>nHer brother, Ralph Werec, had been sent to the frontline 130 light-years away to accomplish a special mission when she was 11 years old, a distance that requires 400 years of objective time to traverse by even the fastest Union spacecraft. However, in accordance with the theory of relativity, this corresponds to only two subjective years (time as experienced by those within the spacecraft).<br><br>nThe two of them had lost their parents when they were young and the bond between the two is very close. It is Sara&rsquo;s dearest wish to be reunited with her brother. To do that, she must travel to the battlefield where he is.<br><br>nOne day, Sara&rsquo;s planet is suddenly assaulted by Deague forces. To her surprise, her brother, Ralph, turns out to be one of the raiders who successfully kidnap a mysterious girl sleeping in a capsule.<br><br>nIn order to find the truth, Sara gets in a Strain and chases after him. However, she is attacked by Ralph, and the Mimic, a copy of the pilot&rsquo;s brain which is essential to controlling the Strain, is damaged. <br><br>n(Source: AnimeNfo)",1602,"Bullying, Female Protagonist, Military, Nudity, Primarily Female Cast, Real Robot, Space, Time Manipulation, War, Yuri"
スーパーロボット大戦OG -ディバイン・ウォーズ-,"It is two hundred years after the beginning of the Space Era, when human civilization on Earth began expanding into space. However, by the start of the 21st century, two meteors struck the planet, sending humanity into chaos. By the year 179 of the Space Era, secret technology, dubbed Extra-Over Technology, or EOT, was discovered by the Earth Federal Government within a third meteor that hit Earth in the Marquesas Islands of the South Pacific. Dr. Bian Zoldark, head of the EOTI Institute (Extra-Over Technological Investigative Institute), had evidence the creators of the EOT were heading to Earth, in order to reclaim it...or worse, invade the planet. In order to defend humanity from extraterrestrial threats, the government begins to research and develop humanoid mecha called Personal Troopers.n<br><br>n(Source: Anime News Network)",1603,"Aliens, Military, Real Robot, Super Robot"
家庭教師ヒットマンREBORN!,"Nowadays, the mafia world is ruled by Italy's strongest family, the Vongola. Vongola's current head, ninth in the row, is an old man ready for retirement. But before he can hand down his position, he needs help from a professional Hitman to prepare the next generation Boss for ruling over Vongola and the mafia world itself.<br><br>nSawada Tsunayoshi is just your ordinary teenage boy who attends Junior High and sucks at it. He is unpopular, has no friends, and is desperately in love with a girl from his class. But his life takes an extraordinary turn when Tsunayoshi meets Reborn, an infamous hitman, who the ninth boss of Vongola has sent to train Tsunayoshi for his upcoming title.<br><br>n(Source: Katekyo Hitman Reborn! FC)",1604,"Age Regression, Heterosexual, Mafia, Male Protagonist, Primarily Male Cast, School, Shounen, Slapstick, Super Power, Time Manipulation, Time Skip, Urban Fantasy"
結界師,"Yoshimori Sumimura is a 14-year-old student at Karasumori School. Following in the tradition that's come down through the generations, he is the twenty-second Kekkaishi of the Sumimura clan. But he’s constantly fighting with his rival, Tokine Yukimura—his childhood friend and also a Kekkaishi—about who is the rightful heir to the magical barrier arts. Protecting people from danger while growing stronger himself, Yoshimori will battle the forces of evil again tonight!<br><br>(Source: Crunchyroll)",1606,"Gods, Male Protagonist, School, Shounen, Youkai"
Venus Versus Virus,"After a lifetime of seeing ghosts, young Sumire is recruited by powerful Lucia to fight demons! The girls battle darkness as members of the Venus Vanguard, a group dedicated to ridding the world of its greatest threat—Virus. As they discover why every life is worth saving, they also learn their own unlocked potential for evil.<br><br>(Source: Crunchyroll)",1607,"Demons, Female Protagonist, Kuudere, Super Power"
サラリーマン金太郎,"After former motorcycle gang leader Yajima Kintaro saves the life of the Yamato Construction Company's CEO, he is offered a job working for the company. However, when it becomes apparent that a corrupt faction of the company is trying to gain full control, Kintaro's moral and physical strengths become more useful than the CEO ever imagined. As he works his way up the career ladder Kintaro is forced to deal with many problems, from confrontations with Yakuza bosses to preventing the collapse of a tunnel. But can an uneducated and rowdy person really make it as a salaryman?",1608,"Gangs, Motorcycles, Nudity, Primarily Adult Cast, Rape, Seinen, Urban, Work, Yakuza"
キャプテン翼 (2001),"Tsubasa becomes a superstar amongst soccer players in Brazil. He is now planning to play in Europe. At an important must-win game, as the fans cheer him on, Tsubasa looks back at the days when he started his soccer life. His passion to make goals and win the game is as strong as it was during his childhood. He recalls the games and moments that had decisive impact on his life. He remembers Goalkeeper Wakabayashi, Genius striker Hyuga, tender-hearted Misaki and Coach Roberto. He was happy to meet them, enjoyed playing with them, and learned many things from them. The whistle sounds and the game begins. Tsubasa dashes for the ball!<br><br>n(Source: AniDB)",1614,"Coming of Age, Football, Foreign, Male Protagonist, Primarily Teen Cast, School Club, Shounen"
まっすぐにいこう。,"A talking dog is a beautiful story that you should have dreamt of as a child. But if you have forgotten about it, this is a reminder of that fable story. This is the story of a dog that talks, but ordinary people cannot hear his voice. <br><br>nThe main character, Mametaro, is an adventurous crossbreed dog. He loves his owner, Iku-chan and his girlfriend Hanako-chan very much. However, he just cannot stand Iku-chan's friend, Akiyoshi. <br>nDuring this story, which will be told from Mametaro's point of view, the warm days of spring are finally here. The school and the riverbank, which is actually just an ordinary neighborhood for people, seems like a mysterious world that extends infinitely to little Mametaro and his friends.<br><br>n(Source: AniDB)",1617,"Animals, Anthropomorphism, Chibi, Heterosexual, Male Protagonist, Shoujo, Urban"
それゆけ!宇宙戦艦ヤマモト・ヨーコ (1999),"In the year 2999: humanity is split into two factions, Terra and Ness, in a war fought by starships. One of the foremost of the pilots is the cocky teenager Yamamoto Yohko, and during one of her missions, she and her crew are sucked into a temporal anomaly (a la Star Trek) that sends her back to our time. Amnesiac, she only thinks of herself as a typical high school student - until a course of events sends her back to her ship the TA-29, with her newfound friends fighting at her side in a war that looks suspiciously like an arcade game (complete with 100 yen ignition costs!). <br><br>n(Source: AniDB)",1618,"Female Protagonist, Primarily Female Cast, Space"
G-onらいだーす,"At Saint Hoshikawa School there is a secret group called the G-On Riders. Students with superior strength and ability are chosen to be in the group, which was formed to fight against alien attacks on the earth. However, many of the problems that the members face are ones amongst themselves, and the same is true for the invaders. And another student at the school, Ichiro, tries desperately to confess his love to Yuki, one of the Riders. <br><br>n(Source: Anime News Network)",1623,"Aliens, Female Harem, Magic, Parody, School"
魔王ダンテ,"While sleeping one night, Ryo Utsugi had a nightmare of monsters attacking him. One day he learns a mysterious power to let him hear voices and have visions of girls getting killed, but one night he hears the same voice.n<br><br>n(Source: Anime News Network)",1628,"Cult, Demons, Gods, Gore, Henshin, Kaiju, Male Protagonist, Mythology, Nudity, Shounen, Urban Fantasy"
デビルマンレディー,"Fudo Jun is a beautiful supermodel who is idolized by many. She also has a dark secret that not even she knows about at first, for within her veins run the genes that hold the next step in the evolution of mankind. The same blood as the beastlike superhumans that terrorize the city. Unlike the rest of them, though, Jun has managed to hold a tenuous grip onto her humanity, and she is recruited by the mysterious Asuka Ran, member of a secret organization within the government, aimed at controlling, if not eliminating, these berserk destroyers of mankind. Jun, as Devilman Lady, must now exterminate her own kind, but how much longer can she keep her sanity in a situation she never chose in the first place?n<br><br>n(Source: Anime News Network)",1629,"Bisexual, Body Horror, Conspiracy, Demons, Female Protagonist, Gods, Gore, Kaiju, LGBTQ+ Themes, Monster Girl, Nekomimi, Noir, Nudity, Philosophy, Rape, Seinen, Tragedy, Urban Fantasy"
シュガシュガルーン,"Chocolat Meilleure and Vanilla Mieux are two witches who are pitched in a contest to see who will become the new Queen of the Witch World. They must travel to the Human World and collect the hearts of humans. Whoever collects the most ""human hearts"" wins. Even though they're rivals, the two are still best friends. Join them on this adventure!",1642,"Age Gap, Animals, Anti-Hero, Dragons, Dungeon, Female Protagonist, Fencing, Heterosexual, Isekai, Magic, Monster Girl, Ojou-sama, Parody, Primarily Child Cast, Royal Affairs, School, Shoujo, Skeleton, Tennis, Urban Fantasy, Witch"
練馬大根ブラザーズ,"Hideki, leader of the Nerima Daikon Brothers, has a dream to build a dome in his hometown of Nerima to hold a concert for his band. Together with his cousin, Mako (whom he has a crush on), Ichiro, and Pandaikon (a panda he found in his yard that resembles a daikon), they strive to make money any way they can, and in the process, rid the world of evil-doers and steal their money in the process. With help from a rental guy, Nabeshin, who rents them outrageous items that always seem to help them defeat the bad guys, the Nerima Daikon Brothers sing their way to victory but always manage to lose the money they stole in the end. Even under the investigation of Inspector Karakuri, they never fail to fight for justice the Nerima-Daikon way.",1655,"Agriculture, Meta, Musical Theater, Parody, Police"
